Adresse,Postnummer,Poststed,Lat,Lon
Fagerlivegen 27A,6008,ÅLESUND,62.47573733014712,6.226077099177715
Fagerlivegen 27B,6008,ÅLESUND,62.47575872795967,6.226249788042588
Fagerlivegen 29A,6008,ÅLESUND,62.475810488390906,6.226594334280248
Fagerlivegen 29B,6008,ÅLESUND,62.47583969560593,6.226708073674576
Fagerlivegen 3,6008,ÅLESUND,62.47277527617806,6.2207630151225715
Fagerlivegen 30,6008,ÅLESUND,62.475581900057065,6.227294843182135
Fagerlivegen 31A,6008,ÅLESUND,62.47591950651915,6.227108243567469
Fagerlivegen 31B,6008,ÅLESUND,62.47593974787184,6.227222815952466
Fagerlivegen 32,6008,ÅLESUND,62.475676834420014,6.228004140993764
Fagerlivegen 33A,6008,ÅLESUND,62.47601840227114,6.227564870120799
Fagerlivegen 33B,6008,ÅLESUND,62.47604799370776,6.227697984113111
Fagerlivegen 34,6008,ÅLESUND,62.475899846787925,6.2283818910080475
Fagerlivegen 4A,6008,ÅLESUND,62.4724917668584,6.221410386868482
Fagerlivegen 4B,6008,ÅLESUND,62.47256966360748,6.221713645164231
Fagerlivegen 4C,6008,ÅLESUND,62.47266626208465,6.222053979151261
Fagerlivegen 5A,6008,ÅLESUND,62.47282381306846,6.221193012977123
Fagerlivegen 5B,6008,ÅLESUND,62.47289473328633,6.221799859491227
Fagerlivegen 6,6008,ÅLESUND,62.47282701479083,6.222621035896113
Fagerlivegen 7,6008,ÅLESUND,62.473117618880096,6.222167270301822
Fagerlivegen 8A,6008,ÅLESUND,62.473169294464434,6.222958142834932
Fagerlivegen 8B,6008,ÅLESUND,62.473256538930634,6.223279949883648
Fagerlivegen 8C,6008,ÅLESUND,62.47298140630276,6.22299501165343
Fagerlivegen 8D,6008,ÅLESUND,62.47320226364318,6.223711942363108
Fagerlivegen 9,6008,ÅLESUND,62.47399231130997,6.223625724196596
Hundsværgata 11A,6008,ÅLESUND,62.471188076975004,6.210994412807386
Hundsværgata 11B,6008,ÅLESUND,62.47125044698376,6.210969185996377
Hundsværgata 13A,6008,ÅLESUND,62.471026280899665,6.211716260524317
Hundsværgata 13B,6008,ÅLESUND,62.47105702395138,6.211627619728138
Hundsværgata 15A,6008,ÅLESUND,62.47111978130129,6.2116217637398154
Hundsværgata 15B,6008,ÅLESUND,62.47117318609606,6.211597374877463
Hundsværgata 17A,6008,ÅLESUND,62.47122697810803,6.211592355381407
Hundsværgata 17B,6008,ÅLESUND,62.471280770119364,6.211587335864836
Hundsværgata 19,6008,ÅLESUND,62.47129044982617,6.212071573312777
Hundsværgata 1A,6008,ÅLESUND,62.470934392834025,6.210435927499431
Hundsværgata 1B,6008,ÅLESUND,62.47098818479471,6.210430905965269
Hundsværgata 2,6008,ÅLESUND,62.47058495649106,6.20868326966952
Hundsværgata 21,6008,ÅLESUND,62.47111269163117,6.212165779619737
Hundsværgata 3A,6008,ÅLESUND,62.47104158937124,6.21040651509387
Hundsværgata 3B,6008,ÅLESUND,62.47109499394264,6.210382124133006
Hundsværgata 4,6008,ÅLESUND,62.470639472799405,6.2091633082037205
Hundsværgata 5A,6008,ÅLESUND,62.47114878589965,6.210377102467764
Hundsværgata 5B,6008,ÅLESUND,62.47120257785596,6.210372080782002
Hundsværgata 6A,6008,ÅLESUND,62.47069634418052,6.209590540204105
Hundsværgata 6B,6008,ÅLESUND,62.47070477035012,6.209796225431019
Hundsværgata 7A,6008,ÅLESUND,62.47096433099899,6.211034700962126
Hundsværgata 7B,6008,ÅLESUND,62.47101812298685,6.211029680498582
Hundsværgata 8,6008,ÅLESUND,62.47073781598065,6.211385731293648
Hundsværgata 9A,6008,ÅLESUND,62.47107191497405,6.21102466001452
Hundsværgata 9B,6008,ÅLESUND,62.47116129613576,6.211101508265784
Kolvikbakken 11A,6008,ÅLESUND,62.47253721313565,6.2167158354185865
Kolvikbakken 11B,6008,ÅLESUND,62.47261246286413,6.216737353601095
Kolvikbakken 11C,6008,ÅLESUND,62.47261898698389,6.2168122369710845
Kolvikbakken 11D,6008,ÅLESUND,62.47255888591919,6.216874695765084
Kolvikbakken 12,6008,ÅLESUND,62.47215315211429,6.216590343872106
Kolvikbakken 14,6008,ÅLESUND,62.472300000370524,6.21719766451737
Kolvikbakken 15,6008,ÅLESUND,62.47260946039294,6.217401721481341
Kolvikbakken 16,6008,ÅLESUND,62.472369713633505,6.21754048510982
Kolvikbakken 17,6008,ÅLESUND,62.47262847177733,6.217904518556091
Kolvikbakken 18,6008,ÅLESUND,62.47238370198184,6.2177914642139696
